"Year" "Month" "SST"
1948 1 NA
1948 2 NA
1948 3 NA
1948 4 NA
1948 5 NA
1948 6 NA
1948 7 NA
1948 8 NA
1948 9 NA
1948 10 NA
1948 11 NA
1948 12 NA
1949 1 NA
1949 2 NA
1949 3 NA
1949 4 NA
1949 5 NA
1949 6 NA
1949 7 NA
1949 8 NA
1949 9 NA
1949 10 NA
1949 11 NA
1949 12 NA
1950 1 24.83
1950 2 25.2
1950 3 26.03
1950 4 26.36
1950 5 26.19
1950 6 26.52
1950 7 26.42
1950 8 25.98
1950 9 25.78
1950 10 25.96
1950 11 25.64
1950 12 25.5
1951 1 25.46
1951 2 25.78
1951 3 26.72
1951 4 27.24
1951 5 27.68
1951 6 27.46
1951 7 27.72
1951 8 27.36
1951 9 27.51
1951 10 27.43
1951 11 27.48
1951 12 27.12
1952 1 26.85
1952 2 26.79
1952 3 27.32
1952 4 27.88
1952 5 27.99
1952 6 27.33
1952 7 26.72
1952 8 26.46
1952 9 26.54
1952 10 26.54
1952 11 26.36
1952 12 26.53
1953 1 26.85
1953 2 27.19
1953 3 27.68
1953 4 28.19
1953 5 28.29
1953 6 28.02
1953 7 27.52
1953 8 27.16
1953 9 27.13
1953 10 27.02
1953 11 26.96
1953 12 26.99
1954 1 27.03
1954 2 27.22
1954 3 27.21
1954 4 26.87
1954 5 27.07
1954 6 26.93
1954 7 26.37
1954 8 25.73
1954 9 25.38
1954 10 25.51
1954 11 25.67
1954 12 25.37
1955 1 25.54
1955 2 25.9
1955 3 26.37
1955 4 26.66
1955 5 26.66
1955 6 26.56
1955 7 26.31
1955 8 25.6
1955 9 25.63
1955 10 24.66
1955 11 24.29
1955 12 24.58
1956 1 25.28
1956 2 26
1956 3 26.62
1956 4 26.96
1956 5 27.23
1956 6 26.99
1956 7 26.37
1956 8 25.91
1956 9 25.91
1956 10 25.83
1956 11 25.64
1956 12 25.71
1957 1 26.09
1957 2 26.58
1957 3 27.65
1957 4 28.34
1957 5 28.59
1957 6 28.28
1957 7 28.11
1957 8 27.75
1957 9 27.54
1957 10 27.49
1957 11 27.79
1957 12 28.08
1958 1 28.37
1958 2 28.41
1958 3 28.34
1958 4 28.35
1958 5 28.35
1958 6 28.05
1958 7 27.48
1958 8 26.9
1958 9 26.5
1958 10 26.61
1958 11 26.89
1958 12 26.77
1959 1 27.14
1959 2 27.25
1959 3 27.55
1959 4 27.93
1959 5 27.8
1959 6 27.34
1959 7 26.56
1959 8 26.32
1959 9 26.17
1959 10 26.42
1959 11 26.32
1959 12 26.44
1960 1 26.25
1960 2 26.27
1960 3 26.97
1960 4 27.51
1960 5 27.62
1960 6 27.24
1960 7 27.07
1960 8 26.85
1960 9 26.6
1960 10 26.35
1960 11 26.34
1960 12 26.41
1961 1 26.38
1961 2 26.61
1961 3 27
1961 4 27.5
1961 5 27.85
1961 6 27.86
1961 7 27.16
1961 8 26.43
1961 9 25.97
1961 10 25.94
1961 11 26.2
1961 12 26.2
1962 1 26.12
1962 2 26.28
1962 3 26.8
1962 4 27.22
1962 5 27.23
1962 6 27.18
1962 7 26.93
1962 8 26.52
1962 9 26.07
1962 10 26.06
1962 11 25.88
1962 12 25.75
1963 1 25.86
1963 2 26.39
1963 3 27.31
1963 4 27.87
1963 5 27.71
1963 6 27.69
1963 7 27.91
1963 8 27.63
1963 9 27.47
1963 10 27.56
1963 11 27.61
1963 12 27.71
1964 1 27.43
1964 2 27.27
1964 3 27.1
1964 4 27.06
1964 5 26.94
1964 6 26.66
1964 7 26.42
1964 8 25.74
1964 9 25.49
1964 10 25.53
1964 11 25.4
1964 12 25.42
1965 1 25.78
1965 2 26.37
1965 3 27.12
1965 4 27.62
1965 5 28.07
1965 6 28.19
1965 7 28.02
1965 8 28.07
1965 9 28.03
1965 10 28.26
1965 11 28.29
1965 12 28.07
1966 1 27.75
1966 2 27.66
1966 3 28.22
1966 4 28.24
1966 5 27.67
1966 6 27.77
1966 7 27.42
1966 8 26.65
1966 9 26.49
1966 10 26.4
1966 11 26.42
1966 12 26.21
1967 1 26.18
1967 2 26.35
1967 3 26.67
1967 4 26.91
1967 5 27.49
1967 6 27.62
1967 7 27.17
1967 8 26.62
1967 9 26.1
1967 10 26.19
1967 11 26.26
1967 12 26.1
1968 1 25.78
1968 2 25.79
1968 3 26.38
1968 4 27.09
1968 5 27.15
1968 6 27.69
1968 7 27.61
1968 8 27.12
1968 9 26.9
1968 10 26.99
1968 11 27.38
1968 12 27.42
1969 1 27.55
1969 2 27.95
1969 3 28.02
1969 4 28.39
1969 5 28.5
1969 6 27.99
1969 7 27.3
1969 8 27.16
1969 9 27.34
1969 10 27.5
1969 11 27.35
1969 12 27.3
1970 1 27.05
1970 2 27.02
1970 3 27.35
1970 4 27.96
1970 5 27.77
1970 6 27.14
1970 7 26.48
1970 8 25.86
1970 9 25.86
1970 10 25.79
1970 11 25.83
1970 12 25.47
1971 1 25.09
1971 2 25.4
1971 3 26.1
1971 4 26.78
1971 5 27.06
1971 6 26.7
1971 7 26.29
1971 8 25.99
1971 9 25.94
1971 10 25.65
1971 11 25.69
1971 12 25.55
1972 1 25.84
1972 2 26.42
1972 3 27.21
1972 4 27.93
1972 5 28.27
1972 6 28.23
1972 7 28.18
1972 8 28.1
1972 9 28.1
1972 10 28.46
1972 11 28.69
1972 12 28.81
1973 1 28.44
1973 2 28
1973 3 27.71
1973 4 27.39
1973 5 27.13
1973 6 26.74
1973 7 25.95
1973 8 25.46
1973 9 25.32
1973 10 25.03
1973 11 24.5
1973 12 24.43
1974 1 24.52
1974 2 25.12
1974 3 25.91
1974 4 26.63
1974 5 26.84
1974 6 26.71
1974 7 26.48
1974 8 26.37
1974 9 26.23
1974 10 25.92
1974 11 25.63
1974 12 25.7
1975 1 26.18
1975 2 26.22
1975 3 26.44
1975 4 26.99
1975 5 26.97
1975 6 26.29
1975 7 25.98
1975 8 25.47
1975 9 25.2
1975 10 24.87
1975 11 25.1
1975 12 24.76
1976 1 24.72
1976 2 25.58
1976 3 26.61
1976 4 26.99
1976 5 27.27
1976 6 27.34
1976 7 27.27
1976 8 27.09
1976 9 27.12
1976 10 27.48
1976 11 27.42
1976 12 27.17
1977 1 27.31
1977 2 27.15
1977 3 27.57
1977 4 27.61
1977 5 27.97
1977 6 27.96
1977 7 27.56
1977 8 26.93
1977 9 27.21
1977 10 27.37
1977 11 27.28
1977 12 27.37
1978 1 27.32
1978 2 27.17
1978 3 27.24
1978 4 27.26
1978 5 27.36
1978 6 27.16
1978 7 26.81
1978 8 26.23
1978 9 26.2
1978 10 26.4
1978 11 26.43
1978 12 26.48
1979 1 26.45
1979 2 26.6
1979 3 27.48
1979 4 27.87
1979 5 27.74
1979 6 27.55
1979 7 26.95
1979 8 26.77
1979 9 27.15
1979 10 27.01
1979 11 27.08
1979 12 27.09
1980 1 27.1
1980 2 27.03
1980 3 27.38
1980 4 27.78
1980 5 27.99
1980 6 27.99
1980 7 27.35
1980 8 26.62
1980 9 26.57
1980 10 26.51
1980 11 26.63
1980 12 26.58
1981 1 26.17
